Key,Source,Note
UNKNOWN_ERROR,알 수 없는 오류가 발생했습니다,Core
BATCH_UNKNOWN_ERROR,알 수 없는 오류가 발생했습니다,Batch
SESSION_TOKEN_INVALID_ERROR,세션 토큰이 유효하지 않습니다,Session
LOGIN_UNKNOWN_ERROR,알 수 없는 오류가 발생했습니다,Login
LOGIN_DB_WRITE_ERROR,데이터베이스에 쓰기 오류가 발생했습니다,Login
LOGIN_UNABLE,로그인이 불가능합니다,Login
LOGIN_SESSION_CREATE_ERROR,세션 생성에 실패했습니다,Login
LOGIN_INVALID_UID,유효하지 않은 UID입니다,Login
LOGIN_ALREADY_REQUEST,이미 로그인 요청이 진행 중입니다,Login
USER_DATA_STORAGE_WRITE_ERROR,유저 데이터 저장에 실패했습니다,User
USER_CHARACTER_LOAD_ERROR,캐릭터를 불러올 수 없습니다,Character
USER_CHECK_CHARACTER_NAME_UNKNOWN_ERROR,캐릭터 이름 확인 중 알 수 없는 오류,Character Create
USER_CHARACTER_NAME_ALREADY_EXISTS_ERROR,이미 존재하는 캐릭터 이름입니다,Character Create
USER_CREATE_CHARACTER_UNKNOWN_ERROR,캐릭터 생성 중 알 수 없는 오류가 발생하였습니다,Character Create
USER_CHARACTER_SLOT_INVALID_ERROR,잘못된 캐릭터 슬롯입니다,Character Create
USER_CHARACTER_SLOT_ALREADY_EXISTS_ERROR,이미 해당 슬롯에 캐릭터가 존재합니다,Character Create
USER_CREATE_CHARACTER_ALREADY_REQUEST,이미 캐릭터 생성 요청이 진행 중입니다,Character Create
USER_CREATE_CHARACTER_USER_NOT_FOUND,캐릭터를 생성하려는 사용자를 찾을 수 없습니다,Character Create
USER_CREATE_CHARACTER_NAME_MIN_LENGTH_ERROR,캐릭터 이름은 최소 3자 이상이어야 합니다,Character Create
USER_CREATE_CHARACTER_NAME_MAX_LENGTH_ERROR,캐릭터 이름은 최대 10자 이하여야 합니다,Character Create
USER_CREATE_CHARACTER_NAME_SPECIAL_CHAR_ERROR,캐릭터 이름에 사용할 수 없는 문자가 포함되어 있습니다,Character Create
USER_CREATE_CHARACTER_DB_WRITE_ERROR,캐릭터 생성 중 데이터베이스 쓰기 오류가 발생했습니다,Character Create
USER_DELETE_CHARACTER_UNKNOWN_ERROR,캐릭터 삭제 중 알 수 없는 오류가 발생하였습니다,Character Delete
USER_DELETE_CHARACTER_SLOT_INVALID_ERROR,잘못된 캐릭터 슬롯입니다,Character Delete
USER_DELETE_CHARACTER_ALREADY_REQUEST,이미 캐릭터 삭제 요청이 진행 중입니다,Character Delete
USER_DELETE_CHARACTER_USER_NOT_FOUND,캐릭터를 삭제하려는 사용자를 찾을 수 없습니다,Character Delete
USER_DELETE_CHARACTER_SLOT_NOT_FOUND_ERROR,삭제하려는 캐릭터 슬롯을 찾을 수 없습니다,Character Delete
USER_DELETE_CHARACTER_DB_WRITE_ERROR,캐릭터 삭제 중 데이터베이스 쓰기 오류가 발생했습니다,Character Delete
